kind,index,value
SAM,LABUSKIF.ANAHI,5.56834288820202833e-02
SAM,LABUSKIF.ANALM,3.59327241376106499e-01
SAM,LABUSKIF.ANASE,1.08064196836536985e+00
SAM,LABUSKIF.TOTAL,2.18115381542087272e+00
SAM,LABUSKLS.AAGEX,6.75065620843141589e-02
SAM,LABUSKLS.AAGFO,1.77960458982907299e-02
SAM,LABUSKLS.AAGOT,2.10306390847314791e-02
SAM,LABUSKLS.TOTAL,1.06333247067336364e-01
SAM,LANDLS.AAGEX,3.29749038968545405e-01
SAM,LANDLS.AAGFO,9.63239796425506556e-02
SAM,LANDLS.AAGOT,3.35803146419889759e-02
SAM,LANDLS.TOTAL,4.59653333253085050e-01
SAM,LANDSH.AAGEX,6.56950765967414807e-02
SAM,LANDSH.AAGFO,7.06992625332907854e-02
SAM,LANDSH.TOTAL,1.36394339130032266e-01
SAM,ROW.CAGEX,1.74942928654162368e-02
SAM,ROW.CAGFO,3.43323508570582761e-02
SAM,ROW.CMINE,1.02006936149234784e-01
SAM,ROW.CNAFO,1.60235566726075473e-01
SAM,ROW.CNALM,7.28231432967451298e+00
SAM,ROW.CNASE,4.51728951388809974e-01
SAM,ROW.ENTR,5.36000348279316752e-01
SAM,ROW.GOV,4.19382104504119835e-01
SAM,ROW.LABSK,2.79745686000434472e-02
SAM,ROW.TOTAL,9.03146944904458771e+00
SAM,S-I.ENTR,9.06826476404321791e-01
SAM,S-I.GOV,-5.04000000000000004e-01
SAM,S-I.HLSLOW,3.42770880896149958e-03
SAM,S-I.HLSUPP,1.34111371894478371e+00
SAM,S-I.HSHHLD,7.09539056773446225e-02
SAM,S-I.HURBLOW,2.13390436568668490e-01
SAM,S-I.HURBUPP,2.06292717282953220e+00
SAM,S-I.ROW,1.55569876961203635e+00
SAM,S-I.TOTAL,5.65033818884564898e+00
SAM,STAX.TOTAL,0.00000000000000000e+00
SAM,TAR.CAGEX,5.43437899993817058e-03
SAM,TAR.CAGFO,7.90243664860111952e-03
SAM,TAR.CMINE,2.63523233688721589e-02
SAM,TAR.CNAFO,4.02191480316307082e-02
SAM,TAR.CNALM,1.73140921983089058e+00
SAM,TAR.CNASE,5.32939714386995791e-02
SAM,TAR.TOTAL,1.86461147831863228e+00
SAM,TOTAL.AAGEX,4.39601387558160983e+00
SAM,TOTAL.AAGFO,1.18663000435853694e+00
SAM,TOTAL.AAGOT,2.27899079943089289e+00
SAM,TOTAL.ACTTAX,0.00000000000000000e+00
SAM,TOTAL.AMINE,2.28541157648941251e+00
SAM,TOTAL.ANAFO,5.39988240691101495e+00
SAM,TOTAL.ANAHI,4.26304525057395711e+00
SAM,TOTAL.ANALM,1.33644790180860600e+01
SAM,TOTAL.ANASE,1.97645922740190834e+01
SAM,TOTAL.ATAX,1.48152710001709820e+00
SAM,TOTAL.CAGEX,4.41894254744696457e+00
SAM,TOTAL.CAGFO,1.22886479186419662e+00
SAM,TOTAL.CAGOT,2.27899079943089289e+00
SAM,TOTAL.CAPLSC,1.71636772742702082e+00
SAM,TOTAL.CAPOT,1.08437981296667854e+01
SAM,TOTAL.CAPSH,2.63274921480057655e-01
SAM,TOTAL.CMINE,2.41377083600751918e+00
SAM,TOTAL.CNAFO,5.60033712166872100e+00
SAM,TOTAL.CNAHI,4.26304525057395800e+00
SAM,TOTAL.CNALM,2.23782025675914618e+01
SAM,TOTAL.CNASE,2.02696151968465941e+01
SAM,TOTAL.COMTAX,0.00000000000000000e+00
SAM,TOTAL.DSTK,0.00000000000000000e+00
SAM,TOTAL.DUM,0.00000000000000000e+00
SAM,TOTAL.ENTR,1.19243643029604929e+01
SAM,TOTAL.ETAX,0.00000000000000000e+00
SAM,TOTAL.EXPTAX,0.00000000000000000e+00
SAM,TOTAL.FACTAX,0.00000000000000000e+00
SAM,TOTAL.GOV,7.36419103148584941e+00
